tab,slice,period,year,indicator,entity,value,unit,precision,capture,note
Фікс. доступ до Інтернету,Q1-2,2021 Q1-2,2021,arpu_monthly,,176.1,UAH/line/month,label,cap-1,
Фікс. доступ до Інтернету,Q1-2,2022 Q1-2,2022,arpu_monthly,,182.1,UAH/line/month,label,cap-1,
Фікс. доступ до Інтернету,Q1-2,2023 Q1-2,2023,arpu_monthly,,210.8,UAH/line/month,label,cap-1,
Фікс. доступ до Інтернету,Q1-2,2024 Q1-2,2024,arpu_monthly,,228.3,UAH/line/month,label,cap-1,
Фікс. доступ до Інтернету,Q1-2,2025 Q1-2,2025,arpu_monthly,,237.6,UAH/line/month,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2021 Q1-4,2021,arpu_monthly,,172.3,UAH/line/month,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2022 Q1-4,2022,arpu_monthly,,185.2,UAH/line/month,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2023 Q1-4,2023,arpu_monthly,,218.8,UAH/line/month,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,arpu_monthly,,229.7,UAH/line/month,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,arpu_monthly,,233.2,UAH/line/month,label,cap-1,
Фікс. доступ до Інтернету,Q1-2,2021 Q1-2,2021,lines_rural,,1838002,lines,tooltip,cap-1,
Фікс. доступ до Інтернету,Q1-2,2022 Q1-2,2022,lines_rural,,1688079,lines,tooltip,cap-1,
Фікс. доступ до Інтернету,Q1-2,2023 Q1-2,2023,lines_rural,,1908029,lines,tooltip,cap-1,
Фікс. доступ до Інтернету,Q1-2,2024 Q1-2,2024,lines_rural,,2294948,lines,tooltip,cap-1,
Фікс. доступ до Інтернету,Q1-2,2025 Q1-2,2025,lines_rural,,2462308,lines,tooltip,cap-1,
Фікс. доступ до Інтернету,Q1-4,2021 Q1-4,2021,lines_rural,,1900000,lines,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2022 Q1-4,2022,lines_rural,,1800000,lines,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2023 Q1-4,2023,lines_rural,,2100000,lines,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,lines_rural,,2266163,lines,tooltip,cap-2,
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,lines_rural,,2624043,lines,tooltip,cap-2,
Фікс. доступ до Інтернету,Q1-2,2021 Q1-2,2021,lines_total,,7976827,lines,tooltip,cap-1,
Фікс. доступ до Інтернету,Q1-2,2022 Q1-2,2022,lines_total,,7129278,lines,tooltip,cap-1,
Фікс. доступ до Інтернету,Q1-2,2023 Q1-2,2023,lines_total,,7579184,lines,tooltip,cap-1,
Фікс. доступ до Інтернету,Q1-2,2024 Q1-2,2024,lines_total,,8496449,lines,tooltip,cap-1,
Фікс. доступ до Інтернету,Q1-2,2025 Q1-2,2025,lines_total,,8469066,lines,tooltip,cap-1,
Фікс. доступ до Інтернету,Q1-4,2021 Q1-4,2021,lines_total,,8100000,lines,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2022 Q1-4,2022,lines_total,,7500000,lines,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2023 Q1-4,2023,lines_total,,8100000,lines,label,cap-1,
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,lines_total,,8196432,lines,tooltip,cap-2,
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,lines_total,,8702808,lines,tooltip,cap-2,
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,provider_revenue,Бізнес і Технології,0.34,UAH billion,label,cap-2,rank 7
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,provider_revenue,ВОЛЯ-КАБЕЛЬ,0.69,UAH billion,label,cap-2,rank 4
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,provider_revenue,ДАТАГРУП,0.77,UAH billion,label,cap-2,rank 3
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,provider_revenue,Київстар,1.56,UAH billion,label,cap-2,rank 2
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,provider_revenue,МЕРЕЖА ЛАНЕТ,0.23,UAH billion,label,cap-2,rank 9
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,provider_revenue,НАУКОВО-ВИРОБНИЧЕ …,0.17,UAH billion,label,cap-2,rank 10 (name truncated in UI)
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,provider_revenue,Науковопромислова компа…,0.49,UAH billion,label,cap-2,rank 5 (name truncated in UI)
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,provider_revenue,Укртелеком,1.64,UAH billion,label,cap-2,rank 1
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,provider_revenue,ФАРЛЕП-ІНВЕСТ,0.25,UAH billion,label,cap-2,rank 8
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,provider_revenue,ФРІНЕТ,0.37,UAH billion,label,cap-2,rank 6
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,provider_revenue,Бізнес і Технології,0.38,UAH billion,label,cap-2,rank 7
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,provider_revenue,ВОЛЯ-КАБЕЛЬ,0.77,UAH billion,label,cap-2,rank 3
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,provider_revenue,ДАТАГРУП,0.73,UAH billion,label,cap-2,rank 5
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,provider_revenue,Київстар,1.76,UAH billion,label,cap-2,rank 1
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,provider_revenue,МЕРЕЖА ЛАНЕТ,0.3,UAH billion,label,cap-2,rank 8
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,provider_revenue,НАУКОВО-ВИРОБНИЧЕ …,0.26,UAH billion,label,cap-2,rank 10
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,provider_revenue,Науковопромислова компа…,0.75,UAH billion,label,cap-2,rank 4 (name truncated in UI)
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,provider_revenue,Укртелеком,1.66,UAH billion,label,cap-2,rank 2
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,provider_revenue,ФАРЛЕП-ІНВЕСТ,0.38,UAH billion,label,cap-2,rank 6
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,provider_revenue,ФРІНЕТ,0.28,UAH billion,label,cap-2,rank 9
Фікс. доступ до Інтернету,Q1,2021 Q1,2021,respondents,,2940,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1,2022 Q1,2022,respondents,,2259,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1,2023 Q1,2023,respondents,,2594,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1,2024 Q1,2024,respondents,,3207,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1,2025 Q1,2025,respondents,,1917,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1,2026 Q1,2026,respondents,,1883,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1-2,2021 Q1-2,2021,respondents,,3036,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1-2,2022 Q1-2,2022,respondents,,2458,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1-2,2023 Q1-2,2023,respondents,,2671,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1-2,2024 Q1-2,2024,respondents,,3450,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1-2,2025 Q1-2,2025,respondents,,1995,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1-3,2021 Q1-3,2021,respondents,,3222,entities,table,cap-4,
Фікс. доступ до Інтернету,Q1-3,2022 Q1-3,2022,respondents,,2331,entities,table,cap-4,
Фікс. доступ до Інтернету,Q1-3,2023 Q1-3,2023,respondents,,2625,entities,table,cap-4,
Фікс. доступ до Інтернету,Q1-3,2024 Q1-3,2024,respondents,,3474,entities,table,cap-4,
Фікс. доступ до Інтернету,Q1-3,2025 Q1-3,2025,respondents,,2002,entities,table,cap-4,
Фікс. доступ до Інтернету,Q1-4,2021 Q1-4,2021,respondents,,3003,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1-4,2022 Q1-4,2022,respondents,,2702,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1-4,2023 Q1-4,2023,respondents,,3088,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1-4,2024 Q1-4,2024,respondents,,3386,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1-4,2025 Q1-4,2025,respondents,,1955,entities,table,cap-5,
Фікс. доступ до Інтернету,Q1,2021 Q1,2021,revenue_to_providers,,307884030,UAH,table,cap-5,
Фікс. доступ до Інтернету,Q1,2022 Q1,2022,revenue_to_providers,,243921460,UAH,table,cap-5,
Фікс. доступ до Інтернету,Q1,2023 Q1,2023,revenue_to_providers,,189715580,UAH,table,cap-5,
Фікс. доступ до Інтернету,Q1,2024 Q1,2024,revenue_to_providers,,270453420,UAH,table,cap-5,
Фікс. доступ до Інтернету,Q1,2025 Q1,2025,revenue_to_providers,,308223340,UAH,table,cap-5,
Фікс. доступ до Інтернету,Q1,2026 Q1,2026,revenue_to_providers,,310963170,UAH,table,cap-5,
Фікс. доступ до Інтернету,Q1-2,2021 Q1-2,2021,revenue_to_providers,,675925460,UAH,table,cap-5,
Фікс. доступ до Інтернету,Q1-2,2022 Q1-2,2022,revenue_to_providers,,456821850,UAH,table,cap-5,
Фікс. доступ до Інтернету,Q1-2,2023 Q1-2,2023,revenue_to_providers,,391047760,UAH,table,cap-5,
