date,registered,routed,dark
2021-01-01,2188.0,1823.0,365.0
2021-02-01,2188.0,1823.0,365.0
2021-03-01,2188.0,1823.0,365.0
2021-04-01,2188.0,1823.0,365.0
2021-05-01,2188.0,1823.0,365.0
2021-06-01,2188.0,1823.0,365.0
2021-07-01,2188.0,1823.0,365.0
2021-08-01,2188.0,1823.0,365.0
2021-09-01,2188.0,1823.0,365.0
2021-10-01,2188.0,1823.0,365.0
2021-11-01,2188.0,1828.0,360.0
2021-12-01,2190.0,1826.0,364.0
2022-01-01,2196.0,1826.0,370.0
2022-02-01,2191.0,1832.0,359.0
2022-03-01,2188.0,1782.0,406.0
2022-04-01,2188.0,1729.0,459.0
2022-05-01,2191.0,1756.0,435.0
2022-06-01,2194.0,1738.0,456.0
2022-07-01,2196.0,1754.0,442.0
2022-08-01,2196.0,1762.0,434.0
2022-09-01,2194.0,1758.0,436.0
2022-10-01,2191.0,1749.0,442.0
2022-11-01,2189.0,1715.0,474.0
2022-12-01,2190.0,1709.0,481.0
2023-01-01,2193.0,1734.0,459.0
2023-02-01,2191.0,1720.0,471.0
2023-03-01,2189.0,1745.0,444.0
2023-04-01,2175.0,1734.0,441.0
2023-05-01,2171.0,1729.0,442.0
2023-06-01,2166.0,1726.0,440.0
2023-07-01,2163.0,1724.0,439.0
2023-08-01,2164.0,1729.0,435.0
2023-09-01,2156.0,1727.0,429.0
2023-10-01,2157.0,1716.0,441.0
2023-11-01,2156.0,1714.0,442.0
2023-12-01,2156.0,1706.0,450.0
2024-01-01,2142.0,1704.0,438.0
2024-02-01,2132.0,1697.0,435.0
2024-03-01,2123.0,1690.0,433.0
2024-04-01,2119.0,1687.0,432.0
2024-05-01,2116.0,1677.0,439.0
2024-06-01,2101.0,1684.0,417.0
2024-07-01,2095.0,1663.0,432.0
2024-08-01,,,
2024-09-01,2094.0,1661.0,433.0
2024-10-01,2081.0,1653.0,428.0
2024-11-01,2076.0,1651.0,425.0
2024-12-01,2054.0,1638.0,416.0
2025-01-01,2034.0,1631.0,403.0
2025-02-01,2026.0,1622.0,404.0
2025-03-01,2023.0,1616.0,407.0
2025-04-01,2008.0,1614.0,394.0
2025-05-01,2007.0,1605.0,402.0
2025-06-01,2009.0,1599.0,410.0
2025-07-01,2014.0,1598.0,416.0
2025-08-01,2014.0,1603.0,411.0
2025-09-01,2012.0,1602.0,410.0
2025-10-01,2009.0,1589.0,420.0
2025-11-01,2009.0,1574.0,435.0
2025-12-01,2001.0,1582.0,419.0
2026-01-01,1997.0,1573.0,424.0
2026-02-01,2006.0,1554.0,452.0
2026-03-01,2006.0,1574.0,432.0
2026-04-01,2005.0,1575.0,430.0
2026-05-01,2006.0,1576.0,430.0
2026-06-01,2008.0,1579.0,429.0
2026-07-01,2013.0,1575.0,438.0
2026-08-01,2016.0,1584.0,432.0
