asn,name,info_type,info_scope,created
15645,UA-IX Route Servers,Route Server,Regional,2017-08-07T10:16:13Z
3255,UARNet,NSP,Europe,2009-01-05T11:05:16Z
34056,KievNet,Cable/DSL/ISP,Regional,2010-07-05T12:18:58Z
35297,Dataline Net,NSP,Europe,2010-12-10T16:30:55Z
13188,Triolan ISP,Cable/DSL/ISP,Regional,2011-07-28T09:16:30Z
34700,Maxnet Ukraine,Cable/DSL/ISP,Regional,2012-09-28T05:00:33Z
50321,BYTES,Content,Europe,2013-05-11T14:10:54Z
6768,EUROTELE-PLUS,NSP,Regional,2013-05-17T07:15:15Z
43554,TRINITY,Cable/DSL/ISP,Regional,2013-09-19T07:09:24Z
39608,Lanet Network,Cable/DSL/ISP,Regional,2013-10-13T12:37:25Z
47800,Lanet Network AS47800,Cable/DSL/ISP,Regional,2015-12-11T13:24:13Z
49332,Lanet Network AS49332,Cable/DSL/ISP,Regional,2015-12-12T19:07:51Z
44318,Lanet Network AS44318,Cable/DSL/ISP,Regional,2015-12-14T08:30:14Z
16223,Columbus AS16223,Cable/DSL/ISP,Not Disclosed,2019-06-05T13:16:34Z
21488,Emplot Networks,NSP,Regional,2014-10-07T09:48:07Z
58032,"Private Join Stock Company ""FORTUNAT""",Enterprise,Europe,2014-11-10T02:32:22Z
50581,UTG,NSP,Regional,2014-12-16T15:07:33Z
41709,LDS,Cable/DSL/ISP,Europe,2014-12-22T06:03:27Z
15377,Fregat,Cable/DSL/ISP,Europe,2011-12-01T20:06:35Z
62206,Pitline ltd,NSP,Regional,2014-03-31T03:06:47Z
6876,TENET,Cable/DSL/ISP,Europe,2015-09-14T13:33:12Z
59536,RizBykNet,NSP,Regional,2011-02-04T14:39:53Z
50204,LLC Arhat,Cable/DSL/ISP,Regional,2015-12-01T22:55:03Z
31210,DTEL-IX Route Servers,Route Server,Europe,2009-08-06T13:39:44Z
43380,DTEL-IX Public Network,NSP,Not Disclosed,2024-07-03T05:26:52Z
21219,Datagroup PJSC,NSP,Europe,2008-05-26T11:25:26Z
3326,Datagroup,Cable/DSL/ISP,Europe,2017-07-30T04:44:01Z
3236,SERVER.UA,Content,Global,2024-05-08T08:12:41Z
48239,IT-TV,Cable/DSL/ISP,Europe,2016-03-22T20:32:45Z
43139,Maximum-Net,Cable/DSL/ISP,Not Disclosed,2016-04-06T21:04:10Z
28773,Global Technology Ukraine,Cable/DSL/ISP,Regional,2016-04-16T18:16:33Z
197520,UnionCOM,(unset),Europe,2016-09-12T12:30:06Z
41096,TOV TV&Radio Company 'TIM',Cable/DSL/ISP,Europe,2016-09-13T21:17:33Z
34058,lifecell,NSP,Regional,2016-09-16T12:50:09Z
44416,Satellite Net Service,Cable/DSL/ISP,Regional,2016-09-29T18:13:29Z
