prefix,country
185.23.167.0/24,FR
5.153.189.0/24,RU
185.37.194.0/24,RU
193.200.175.0/24,FR
185.23.164.0/23,FR
193.41.4.0/23,UA
195.182.16.0/24,DE
91.207.115.0/24,RU
79.171.113.0/24,RU
91.207.114.0/24,RU
79.171.116.0/24,RU
195.128.159.0/24,RU
193.201.98.0/24,RU
194.8.56.0/24,UA
195.149.114.0/24,UA
194.88.150.0/23,UA
193.84.17.0/24,NO
91.216.28.0/24,UA
5.153.182.0/23,RU
195.238.180.0/24,UA
5.153.184.0/24,RU
85.223.143.0/24,UA
193.164.130.0/24,RU
193.110.144.0/24,US
194.145.220.0/23,US
193.39.69.0/24,UA
185.212.249.0/24,PL
45.66.55.0/24,CZ
185.175.93.0/24,UA
91.200.6.0/24,UA
91.200.4.0/24,UA
91.200.5.0/24,UA
91.200.7.0/24,UA
185.67.252.0/24,CZ
176.113.144.0/20,UA
94.45.112.0/21,UA
85.198.139.0/24,UA
185.161.161.0/24,TR
89.162.191.0/24,UA
91.202.132.0/22,UA
91.202.132.0/23,UA
91.202.134.0/23,UA
178.159.108.0/22,UA
2a14:3d00::/29,UA
80.70.79.0/24,UA
91.215.70.0/24,UA
91.215.71.0/24,UA
91.215.68.0/22,UA
195.64.244.0/22,UA
80.70.78.0/24,UA
95.46.124.0/24,UA
91.205.204.0/22,UA
91.237.127.0/24,UA
91.237.126.0/24,UA
91.237.125.0/24,UA
2001:678:2b4::/48,NL
31.40.156.0/24,RU
91.223.118.22/32,RU
91.223.118.250/32,RU
91.224.140.0/24,RU
91.212.174.0/24,IR
45.86.47.0/24,US
195.64.184.0/23,UA
195.234.7.0/24,UA
194.44.28.0/24,UA
195.191.201.0/24,DE
195.39.240.0/24,UA
195.191.200.0/24,UA
195.128.231.0/24,AT
91.216.22.0/24,FR
194.28.103.0/24,UA
91.222.252.0/22,UA
91.223.136.0/24,UA
93.171.137.0/24,KG
2a01:7120:7::/48,UA
193.106.66.0/24,UA
193.107.83.0/24,UA
91.233.108.0/23,US
91.233.110.0/23,US
185.160.91.0/24,UA
91.244.69.0/24,UA
195.234.114.0/24,US
185.158.209.0/24,UA
2a02:2278:ffff::/48,UA
2a02:2278:fffc::/48,UA
2a02:2278:fffe::/48,UA
2a02:2278:fffa::/48,UA
185.158.208.0/24,UA
2a02:2278:fffd::/48,UA
195.234.113.0/24,US
2a02:2278:fffb::/48,UA
185.158.211.0/24,UA
185.158.210.0/24,UA
195.234.112.0/24,US
213.5.131.0/24,UA
45.66.250.0/23,RU
212.66.61.0/24,UA
185.156.72.0/24,FR
31.133.43.0/24,RU
185.46.236.0/24,US
94.45.120.0/21,UA
91.195.244.0/23,UA
31.148.50.0/24,UA
31.148.51.0/24,UA
193.9.28.0/24,SK
193.107.202.0/24,UA
193.93.171.0/24,IR
193.93.169.0/24,IR
193.104.210.0/24,GR
46.231.231.0/24,UA
31.148.171.0/24,CZ
2001:67c:108::/48,UA
95.47.158.0/24,UA
5.42.92.0/24,RU
193.233.255.0/24,RU
146.120.243.0/24,UA
95.47.172.0/24,UA
46.229.56.0/24,UA
91.200.72.0/24,UA
195.230.148.0/24,UA
185.190.151.0/24,UA
31.129.250.0/24,UA
185.237.226.0/23,GB
80.92.237.0/24,UA
95.47.104.0/23,UA
89.169.14.0/24,RU
185.244.31.0/24,DE
185.244.29.0/24,DE
194.147.140.0/24,UA
146.120.241.0/24,UA
45.129.72.0/24,GB
2.58.205.0/24,UA
2.58.204.0/24,UA
2.58.207.0/24,UA
193.151.166.0/24,UA
195.178.151.0/24,IE
147.45.198.0/24,DE
185.149.146.0/24,DE
147.45.199.0/24,DE
45.143.201.0/24,RU
77.87.123.0/24,FR
185.7.215.0/24,UA
91.246.43.0/24,US
31.217.252.0/24,UA
31.222.236.0/24,UA
185.232.45.0/24,IN
185.189.73.0/24,UA
31.24.81.0/24,DE
37.140.251.0/24,UA
93.171.248.0/23,UA
46.229.63.0/24,UA
77.91.66.0/24,DE
92.42.102.0/24,FI
185.225.202.0/24,NL
194.87.77.0/24,CZ
178.236.243.0/24,DE
95.164.93.0/24,DE
147.45.47.0/24,RU
82.115.223.0/24,NL
147.45.44.0/24,RU
192.162.199.0/24,DE
2a06:b3c0::/29,US
194.147.44.0/24,FR
