asn,country
1820,US
6079,US
6702,
6846,
7029,US
9009,
13347,US
15830,
15895,
16276,
20516,
25082,
25198,
25540,
28907,
29128,
30779,
30900,
31477,
34661,
35057,
39493,
41009,
41039,
42861,
44546,
44837,
48031,
48323,
48648,
49418,
49432,
49559,
49788,
50130,
50581,
50864,
50949,
51264,
51500,
56382,
56766,
57234,
58309,
59671,
59711,
59956,
60631,
60777,
60860,
61159,
61248,
64410,
196977,
197726,
200000,
200195,
200431,
201591,
201865,
202502,
202656,
202799,
203020,
203273,
203447,
204154,
204552,
204829,
204889,
206264,
207506,
208979,
209693,
209825,
210241,
210316,
210666,
210855,
211621,
212286,
212701,
213191,
213361,
213544,
213694,
213752,
213835,
213887,
213890,
213996,
214351,
214366,
214570,
214780,
214927,
215540,
216178,
216300,
219202,
393406,US
397477,US
