new_origin_asn,new_origin_holder,prefixes,addresses,sellers
64410.0,BELICOMNET-AS BELICOM.NET LLC,2,6144,1
25082.0,AS-VINER-TELECOM Viner Telecom LLC,6,3072,1
204552.0,POPILNYANET-AS POPILNYA.NET LLC,2,2560,1
203020.0,HostRoyale HostRoyale Technologies Pvt Ltd,5,2304,5
213996.0,"J-AND-Y-ASN ""J&Y"" LLC",3,2048,1
61159.0,GIGANET-CDN Ukrainian Backbone Networks LLC,7,1792,1
202502.0,"Eurolir-AS LLC ""ATOM3""",5,1280,1
203273.0,NetCraftersOU NetCrafters OU,3,1280,3
213890.0,novoros-as NOVOROS-TELECOM LLC,5,1280,1
34661.0,"BREEZE-NETWORK TOV TRK ""Briz""",1,1024,1
48323.0,NEIRONSYSTEMS-NET PP Neiron Systems,1,1024,1
58309.0,LANGATE-AS Langate Ltd,1,1024,1
59671.0,"BIT-AS TzOV ""Biznes i Technologii""",4,1024,1
50581.0,UTG Ukrainian Telecommunication Group LLC,3,768,1
213694.0,INLAN-AS INLAN LLC,2,768,1
44546.0,ALFATELECOM-AS ALFA TELECOM s.r.o.,3,768,3
213544.0,"Perspektiva-TV OOO TRK ""Perspektiva""",2,768,1
59956.0,"S3WAY PP ""Lurenet""",3,768,1
25540.0,ALPHALINK-AS Alphalink SASU,2,768,2
203447.0,CENTERTPA-AS Miratel Ltd,3,768,1
16276.0,OVH OVH SAS,3,768,2
210241.0,LENZ-NET-AS LENZ.NET LLC,1,512,1
209693.0,OC-NETWORK OC NETWORKS LIMITED,2,512,1
200000.0,Ukraine-AS Hosting Ukraine LTD,1,512,1
6846.0,"UKRPACK Joint Ukrainan-German Enterprise ""INFOCOM"" LLC",2,512,2
56382.0,VSERVERLTD vServer.site LTD,2,512,1
51500.0,SERVISNET-AS Servisnet Ltd.,2,512,1
211621.0,WEST-TV-AS West-TV LLC,1,512,1
219202.0,NEUROSIGNAL-AS NEUROSIGNAL LLC,2,512,2
212701.0,HOSTINUX-AS Hostinux Limited,2,512,1
15895.0,"KSNET-AS ""Kyivstar"" PJSC",2,512,2
48648.0,KYIVLINK K-Link LLC,2,512,2
41009.0,VIZITNETUA-AS Oleksandr Melnyk,2,512,2
213191.0,IVC-DON-AS Osipenko Alexander Nikolaevich,1,256,1
208979.0,CANADA-TE-UA-AS Canada Network Group LLC,1,256,1
216178.0,svyazon-as Svyaz.ON LLC,1,256,1
215540.0,GCS-AS GLOBAL CONNECTIVITY SOLUTIONS LLP,1,256,1
204154.0,FIRST-SERVER-US-AS FIRST SERVER LIMITED,1,256,1
393406.0,"DIGITALOCEAN-AS393406 - DigitalOcean, LLC",1,256,1
214927.0,PSB-AS PSB HOSTING LTD,1,256,1
204829.0,ASONET Onet Group Ltd.,1,256,1
204889.0,TOBI-AS Online Business Technologies Ltd.,1,256,1
206264.0,AMARUTU-TECHNOLOGY Amarutu Technology Ltd,1,256,1
207506.0,"NEW-CONNECTION-AS ""NEWNET"" LLC",1,256,1
214780.0,AS-KSU42 KuzbasSvyazUgol LLC,1,256,1
214570.0,PishgamRayan Pishgam Rayan Dadeh Pajooh PJSC,1,256,1
216300.0,"AbkhazMedia-As Closed Joint Stock Company ""AbkhazMedia""",1,256,1
209825.0,IBNET Katanytsia Lyubov Viktorivna,1,256,1
214366.0,PRIVACYFIRST Moustafa Mohamed Mohamed Ahmed Elghoubashi,1,256,1
214351.0,FEMOIT FEMO IT SOLUTIONS LIMITED,1,256,1
213887.0,WAICORE-LTD WAIcore Ltd,1,256,1
210666.0,MIXTRIO-AS MIXTRIO SAS,1,256,1
213835.0,Solidity Solidity Technology Services SA,1,256,1
213752.0,REDLINEZT LLC RED LINE TELECOM,1,256,1
210855.0,MEETSCALE Meetscale SAS,1,256,1
212286.0,LONCONNECT LonConnect Ltd,1,256,1
202799.0,SYSECT SYSECT D.O.O.,1,256,1
213361.0,NOVANET-AS Anastasiia Kamyshan,1,256,1
1820.0,WNET - WNET TELECOM USA Corp.,1,256,1
202656.0,XServerCloud Ivanov Vitaliy Sergeevich,1,256,1
201865.0,ICMP Yukhnovskii Institute for Condensed Matter Physics of the National Academy of Sciences of Ukraine,1,256,1
49418.0,AS-NETSHIELD NETSHIELD LTD,1,256,1
48031.0,XServerCloud Ivanov Vitaliy Sergeevich,1,256,1
44837.0,"ELS-TELECOM ELS Telecom, LTD",1,256,1
42861.0,FOTONTELECOM-TRANSIT-AS Foton Telecom CJSC,1,256,1
41039.0,"DON-FTTH Timer, LLC",1,256,1
39493.0,RU-KSTV CJSC Kolomna-Sviaz TV,1,256,1
35057.0,HOMELINK-AS HOMELINK Limited Liability Company,1,256,1
30900.0,WEBWORLD-AS Sternforth Ltd. trading as WebWorld,1,256,1
30779.0,INETKR-AS TRK Cable TV LLC,1,256,1
28907.0,"MIROHOST Internet Invest, Ltd.",1,256,1
20516.0,SVUA Sky Vision Ukraine Ltd,1,256,1
15830.0,Equinix Equinix (EMEA) Acquisition Enterprises B.V.,1,256,1
13347.0,MIDWEST-CABLE - Midwest Cable,1,256,1
9009.0,M247 M247 Europe SRL,1,256,1
7029.0,WINDSTREAM - Windstream Communications LLC,1,256,1
49432.0,SCHALLERT-AS Dominic Schallert trading as schallert.com e.U.,1,256,1
49559.0,IPT-1-IX A-Systems Sp. z o.o.,1,256,1
49788.0,NEXTHOP Nexthop AS,1,256,1
