new_origin_asn,new_origin_holder,prefixes,addresses,sellers
64410,BELICOMNET-AS BELICOM.NET LLC,2,6144,1
25082,AS-VINER-TELECOM Viner Telecom LLC,6,3072,1
204552,POPILNYANET-AS POPILNYA.NET LLC,2,2560,1
203020,HostRoyale HostRoyale Technologies Pvt Ltd,5,2304,5
213996,"J-AND-Y-ASN ""J&Y"" LLC",3,2048,1
61159,GIGANET-CDN Ukrainian Backbone Networks LLC,7,1792,1
203273,NetCraftersOU NetCrafters OU,3,1280,3
202502,"Eurolir-AS LLC ""ATOM3""",5,1280,1
48323,NEIRONSYSTEMS-NET PP Neiron Systems,1,1024,1
58309,LANGATE-AS Langate Ltd,1,1024,1
59671,"BIT-AS TzOV ""Biznes i Technologii""",4,1024,1
34661,"BREEZE-NETWORK TOV TRK ""Briz""",1,1024,1
203447,CENTERTPA-AS Miratel Ltd,3,768,1
44546,ALFATELECOM-AS ALFA TELECOM s.r.o.,3,768,3
50581,UTG Ukrainian Telecommunication Group LLC,3,768,1
59956,"S3WAY PP ""Lurenet""",3,768,1
25540,ALPHALINK-AS Alphalink SASU,2,768,2
16276,OVH OVH SAS,3,768,2
209693,OC-NETWORK OC NETWORKS LIMITED,2,512,1
56382,VSERVERLTD vServer.site LTD,2,512,1
51500,SERVISNET-AS Servisnet Ltd.,2,512,1
211621,WEST-TV-AS West-TV LLC,1,512,1
200000,Ukraine-AS Hosting Ukraine LTD,1,512,1
210241,LENZ-NET-AS LENZ.NET LLC,1,512,1
212701,HOSTINUX-AS Hostinux Limited,2,512,1
15895,"KSNET-AS ""Kyivstar"" PJSC",2,512,2
6846,"UKRPACK Joint Ukrainan-German Enterprise ""INFOCOM"" LLC",2,512,2
48648,KYIVLINK K-Link LLC,2,512,2
41009,VIZITNETUA-AS Oleksandr Melnyk,2,512,2
213361,NOVANET-AS Anastasiia Kamyshan,1,256,1
393406,"DIGITALOCEAN-AS393406 - DigitalOcean, LLC",1,256,1
216300,"AbkhazMedia-As Closed Joint Stock Company ""AbkhazMedia""",1,256,1
204829,ASONET Onet Group Ltd.,1,256,1
204889,TOBI-AS Online Business Technologies Ltd.,1,256,1
206264,AMARUTU-TECHNOLOGY Amarutu Technology Ltd,1,256,1
215540,GCS-AS GLOBAL CONNECTIVITY SOLUTIONS LLP,1,256,1
207506,"NEW-CONNECTION-AS ""NEWNET"" LLC",1,256,1
214927,PSB-AS PSB HOSTING LTD,1,256,1
208979,CANADA-TE-UA-AS Canada Network Group LLC,1,256,1
209825,IBNET Katanytsia Lyubov Viktorivna,1,256,1
214570,PishgamRayan Pishgam Rayan Dadeh Pajooh PJSC,1,256,1
213544,"Perspektiva-TV OOO TRK ""Perspektiva""",1,256,1
214366,PRIVACYFIRST Moustafa Mohamed Mohamed Ahmed Elghoubashi,1,256,1
214351,FEMOIT FEMO IT SOLUTIONS LIMITED,1,256,1
210666,MIXTRIO-AS MIXTRIO SAS,1,256,1
213887,WAICORE-LTD WAIcore Ltd,1,256,1
213835,Solidity Solidity Technology Services SA,1,256,1
213752,REDLINEZT LLC RED LINE TELECOM,1,256,1
210855,MEETSCALE Meetscale SAS,1,256,1
213694,INLAN-AS INLAN LLC,1,256,1
212286,LONCONNECT LonConnect Ltd,1,256,1
1820,WNET - WNET TELECOM USA Corp.,1,256,1
61248,IR-FUM Ferdowsi University of Mashhad,1,256,1
204154,FIRST-SERVER-US-AS FIRST SERVER LIMITED,1,256,1
49432,SCHALLERT-AS Dominic Schallert trading as schallert.com e.U.,1,256,1
7029,WINDSTREAM - Windstream Communications LLC,1,256,1
9009,M247 M247 Europe SRL,1,256,1
13347,MIDWEST-CABLE - Midwest Cable,1,256,1
15830,Equinix Equinix (EMEA) Acquisition Enterprises B.V.,1,256,1
20516,SVUA Sky Vision Ukraine Ltd,1,256,1
28907,"MIROHOST Internet Invest, Ltd.",1,256,1
30779,INETKR-AS TRK Cable TV LLC,1,256,1
30900,WEBWORLD-AS Sternforth Ltd. trading as WebWorld,1,256,1
35057,HOMELINK-AS HOMELINK Limited Liability Company,1,256,1
42861,FOTONTELECOM-TRANSIT-AS Foton Telecom CJSC,1,256,1
44837,"ELS-TELECOM ELS Telecom, LTD",1,256,1
48031,XServerCloud Ivanov Vitaliy Sergeevich,1,256,1
49559,IPT-1-IX A-Systems Sp. z o.o.,1,256,1
201865,ICMP Yukhnovskii Institute for Condensed Matter Physics of the National Academy of Sciences of Ukraine,1,256,1
49788,NEXTHOP Nexthop AS,1,256,1
50130,SYNDICATE-AS FOP Samoilenko Igor Olegovich,1,256,1
50864,TeleNet-AS IT TeleNet Ltd.,1,256,1
51264,eVPS Kutumova Olena,1,256,1
59711,HZ-EU-AS HZ Hosting Ltd,1,256,1
60631,PARVASYSTEM Vandad Vira Hooman LLC,1,256,1
60777,GIN-AS PP 'Halytska informatsiina merezha',1,256,1
60860,ALTAIR-KIEV-AS TVCOM Ltd.,1,256,1
6702,"APEXNCC-AS Science Production Company ""Trifle"" Ltd.",1,256,1
197726,UKRNAMES-AS Ukrainian Internet Names Center LTD,1,256,1
200431,inno_cf Inno Group LLP,1,256,1
201591,AIYL-BANK-AS Aiyl Bank JSC,1,256,1
397477,WGIX - WGIX,1,256,1
