old_asn,prefix,family,addresses,outcome,new_origin_asn,new_origin_holder
5593,212.110.128.0/24,ipv4,256,RETURNED,5593.0,UNITED-AS Load.me sp. z o. o.
6886,2a09:10c0::/29,ipv6,0,DARK,,
6886,185.29.252.0/22,ipv4,1024,DARK,,
6886,185.23.167.0/24,ipv4,256,ABSORBED,25540.0,ALPHALINK-AS Alphalink SASU
6886,212.66.48.0/21,ipv4,2048,DARK,,
6886,141.98.148.0/22,ipv4,1024,DARK,,
8274,5.153.180.0/24,ipv4,256,DARK,,
8274,5.153.189.0/24,ipv4,256,ABSORBED,196977.0,HANGENKOVO-NET-AS Private Entrepreneur Bubley Igor Yurievich
8274,185.37.194.0/24,ipv4,256,ABSORBED,216178.0,svyazon-as Svyaz.ON LLC
8343,195.58.248.0/24,ipv4,256,DARK,,
8343,178.23.136.0/21,ipv4,2048,DARK,,
8343,2a00:1b50:10::/48,ipv6,0,DARK,,
8343,195.58.227.0/24,ipv4,256,DARK,,
8343,195.58.252.0/22,ipv4,1024,DARK,,
8343,185.19.244.0/22,ipv4,1024,DARK,,
8343,37.143.88.0/21,ipv4,2048,DARK,,
8343,2a00:1b50::/32,ipv6,0,DARK,,
8343,195.58.239.0/24,ipv4,256,DARK,,
8343,195.58.249.0/24,ipv4,256,DARK,,
8343,195.58.224.0/19,ipv4,8192,DARK,,
8343,195.58.226.0/24,ipv4,256,DARK,,
8343,195.58.240.0/24,ipv4,256,DARK,,
8647,193.200.175.0/24,ipv4,256,ABSORBED,210855.0,MEETSCALE Meetscale SAS
8647,185.23.164.0/23,ipv4,512,ABSORBED,25540.0,ALPHALINK-AS Alphalink SASU
8647,2a0f:3a00::/29,ipv6,0,DARK,,
8647,85.153.48.0/23,ipv4,512,DARK,,
8647,85.153.50.0/23,ipv4,512,DARK,,
9213,194.8.248.0/23,ipv4,512,DARK,,
9213,91.237.204.0/22,ipv4,1024,DARK,,
15458,195.38.16.0/23,ipv4,512,DARK,,
15458,195.38.18.0/24,ipv4,256,DARK,,
15821,193.41.4.0/23,ipv4,512,ABSORBED,203273.0,NetCraftersOU NetCrafters OU
20790,194.242.60.0/24,ipv4,256,DARK,,
20979,193.108.120.0/22,ipv4,1024,DARK,,
21390,80.92.230.0/24,ipv4,256,RETURNED,21390.0,WNET Load.me sp. z o. o.
21390,2a02:2b30::/32,ipv6,0,DARK,,
24610,193.110.126.0/24,ipv4,256,DARK,,
24610,193.110.124.0/24,ipv4,256,DARK,,
24610,193.110.124.0/22,ipv4,1024,DARK,,
24610,193.110.127.0/24,ipv4,256,DARK,,
24610,193.110.125.0/24,ipv4,256,DARK,,
24630,195.182.16.0/24,ipv4,256,ABSORBED,206264.0,AMARUTU-TECHNOLOGY Amarutu Technology Ltd
24685,128.0.172.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,31.172.140.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,193.111.48.0/23,ipv4,512,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,82.117.229.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,31.172.136.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,193.111.0.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,80.92.234.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,185.39.196.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,92.60.178.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,80.92.235.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,31.172.137.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,185.38.209.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,128.0.174.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,128.0.170.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,31.172.141.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,31.172.136.0/23,ipv4,512,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,92.60.178.0/23,ipv4,512,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,80.92.233.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,194.246.121.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,92.60.179.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,91.202.108.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24685,80.92.231.0/24,ipv4,256,RETURNED,24685.0,DOMONET Load.me sp. z o. o.
24881,46.162.0.0/18,ipv4,16384,RETURNED,24881.0,INTERPHONE-AS Interphone Ltd.
24881,193.111.156.0/22,ipv4,1024,RETURNED,24881.0,INTERPHONE-AS Interphone Ltd.
24881,91.192.156.0/22,ipv4,1024,RETURNED,24881.0,INTERPHONE-AS Interphone Ltd.
25000,91.207.115.0/24,ipv4,256,ABSORBED,213890.0,novoros-as NOVOROS-TELECOM LLC
25000,79.171.113.0/24,ipv4,256,ABSORBED,213890.0,novoros-as NOVOROS-TELECOM LLC
25000,91.207.114.0/24,ipv4,256,ABSORBED,213890.0,novoros-as NOVOROS-TELECOM LLC
25000,79.171.116.0/24,ipv4,256,ABSORBED,213890.0,novoros-as NOVOROS-TELECOM LLC
25000,195.128.159.0/24,ipv4,256,ABSORBED,213890.0,novoros-as NOVOROS-TELECOM LLC
25000,193.201.98.0/24,ipv4,256,ABSORBED,50949.0,agronet-ru-as Agronet LLC
29107,178.54.5.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,178.54.0.0/17,ipv4,32768,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,194.0.88.0/23,ipv4,512,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,178.54.10.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,178.54.4.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,193.201.80.0/23,ipv4,512,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,178.54.121.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,2001:67c:2b14::/48,ipv6,0,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,195.69.86.0/23,ipv4,512,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,178.54.6.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,195.69.84.0/23,ipv4,512,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,178.54.9.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,77.87.144.0/22,ipv4,1024,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,195.69.84.0/22,ipv4,1024,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,92.249.64.0/18,ipv4,16384,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,194.0.90.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,194.0.90.0/23,ipv4,512,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,77.87.148.0/22,ipv4,1024,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,91.216.176.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,178.54.11.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,178.54.120.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,2a07:76c0:2::/48,ipv6,0,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,178.54.7.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,141.98.109.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,178.54.8.0/24,ipv4,256,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29107,194.0.88.0/22,ipv4,1024,RETURNED,29107.0,SYNAPSE-AS Synapse Network LTD
29187,195.68.216.0/23,ipv4,512,DARK,,
29421,195.137.250.0/23,ipv4,512,DARK,,
29559,195.177.208.0/23,ipv4,512,RETURNED,29559.0,QUARTSOFT-AS Quart-Soft LLC
