[1/3] routed ASN sets at 2024-09-01T00:00 and 2026-08-01T00:00 ...
  T0=1661  T1=1584  departed=181  new=104
[2/3] recovering prefixes for 181 departed ASNs ...
  [1/181] AS5593: 1 prefixes
  [2/181] AS6886: 5 prefixes
  [3/181] AS8274: 3 prefixes
  [4/181] AS8343: 13 prefixes
  [5/181] AS8647: 5 prefixes
  [6/181] AS9213: 2 prefixes
  [7/181] AS15458: 2 prefixes
  [8/181] AS15821: 1 prefixes
  [9/181] AS20790: 1 prefixes
  [10/181] AS20979: 1 prefixes
  [11/181] AS21390: 2 prefixes
  [12/181] AS24610: 5 prefixes
  [13/181] AS24630: 1 prefixes
  [14/181] AS24685: 22 prefixes
  [15/181] AS24881: 3 prefixes
  [16/181] AS25000: 6 prefixes
  [17/181] AS29107: 26 prefixes
  [18/181] AS29187: 1 prefixes
  [19/181] AS29421: 1 prefixes
  [20/181] AS29559: 1 prefixes
  [21/181] AS29597: 1 prefixes
  [22/181] AS31044: 1 prefixes
  [23/181] AS31447: 1 prefixes
  [24/181] AS31489: 1 prefixes
  [25/181] AS34068: 1 prefixes
  [26/181] AS34180: 3 prefixes
  [27/181] AS34331: 1 prefixes
  [28/181] AS35523: 1 prefixes
  [29/181] AS35781: 1 prefixes
  [30/181] AS38931: 1 prefixes
  [31/181] AS39071: 1 prefixes
  [32/181] AS39262: 1 prefixes
  [33/181] AS39329: 1 prefixes
  [34/181] AS39331: 1 prefixes
  [35/181] AS41081: 3 prefixes
  [36/181] AS41166: 1 prefixes
  [37/181] AS41172: 1 prefixes
  [38/181] AS41350: 1 prefixes
  [39/181] AS41422: 1 prefixes
  [40/181] AS41540: 4 prefixes
  [41/181] AS41665: 7 prefixes
  [42/181] AS41737: 4 prefixes
  [43/181] AS41791: 1 prefixes
  [44/181] AS42051: 1 prefixes
  [45/181] AS42054: 1 prefixes
  [46/181] AS42088: 1 prefixes
  [47/181] AS42192: 1 prefixes
  [48/181] AS42250: 1 prefixes
  [49/181] AS42379: 2 prefixes
  [50/181] AS42533: 1 prefixes
  [51/181] AS42702: 5 prefixes
  [52/181] AS43162: 1 prefixes
  [53/181] AS43613: 1 prefixes
  [54/181] AS43748: 4 prefixes
  [55/181] AS43864: 2 prefixes
